,,,,,,,,,,
Interest / Hobby - Education,hobby_self_improvement_courses,Self Improvement,Interest in self improvement courses,No,string(01),Yes(1) / No(null),1,Pipe," 24,709,761 ",9%
Interest / Hobby - Education,online_education,Online Education,Indicates interest in online education / distance learning,No,string(01),Yes(1) / No(null),1,Pipe," 22,081,037 ",8%
Interest / Hobby - Education,science_space,Science Space,Interest in science / space,No,string(01),Yes(1) / No(null),1,Pipe," 11,204,953 ",4%
Interest / Hobby - Education,self_improvement,Self Improvement,Interest in self improvement,No,string(01),Yes(1) / No(null),1,Pipe," 9,723,471 ",3%
Interest / Hobby - Electronics,consumer_electronics,Electronics,Interest in consumer electronics,No,string(01),Yes(1) / No(null),1,Pipe," 127,134,094 ",44%
Interest / Hobby - Electronics,hightechleader,High Tech Leader,Interest in high tech,No,string(01),Yes(1) / No(null),1,Pipe," 51,614,650 ",18%
Interest / Hobby - Entertainment,entertainment_enth,Entertainment,Interest in entertainment,No,string(01),Yes(1) / No(null),1,Pipe," 84,828,525 ",30%
Interest / Hobby - Entertainment,movie,Movies,Interest in movies,No,string(01),Yes(1) / No(null),1,Pipe," 66,989,296 ",23%
Interest / Hobby - Entertainment,nascar,NASCAR,Likes NASCAR racing,No,string(01),Yes(1) / No(null),1,Pipe," 20,902,840 ",7%
Interest / Hobby - Entertainment,tv_sports,TV Sports,Interested in watching sports on TV,No,string(01),Yes(1) / No(null),1,Pipe," 18,788,073 ",7%
Interest / Hobby - Family,family,Family,Interest in family,No,string(01),Yes(1) / No(null),1,Pipe," 47,665,049 ",17%
Interest / Hobby - Food / Wine / Luxury,food,Food,Food and wine interest,No,string(01),Yes(1) / No(null),1,Pipe," 87,222,823 ",30%
Interest / Hobby - Food / Wine / Luxury,hobby_cigar_smoking,Cigar Smoking,Interest in cigars,No,string(01),Yes(1) / No(null),1,Pipe," 8,142,797 ",3%
Interest / Hobby - Food / Wine / Luxury,hobby_cooking,Cooking,Interest in cooking,No,string(01),Yes(1) / No(null),1,Pipe," 107,868,011 ",38%
Interest / Hobby - Food / Wine / Luxury,hobby_cooking_gourmet,Gourmet Cooking,Interest in gourmet cooking,No,string(01),Yes(1) / No(null),1,Pipe," 101,202,163 ",35%
Interest / Hobby - Food / Wine / Luxury,hobby_wine_appreciation,Wine Appreciation,Interest in wine,No,string(01),Yes(1) / No(null),1,Pipe," 11,720,044 ",4%
Interest / Hobby - Food / Wine / Luxury,luxury_life,Luxury Life,"Made up of three or more:  gourmet cooking, health / natural foods, wines, fashion clothing, home decor, etc.",No,string(01),Yes(1) / No(null),1,Pipe," 36,633,588 ",13%
Interest / Hobby - Gambling,casino_gambling,Casino / Gambling,Interest in casino gambling,No,string(01),Yes(1) / No(null),1,Pipe," 18,739,411 ",7%
Interest / Hobby - Gambling,sports_betting,Sports Betting,Interest in wagering on undefined sporting events,No,string(01),Yes(1) / No(null),1,Pipe," 709,562 ",0%
Interest / Hobby - Gambling,sweepstakes_contest,Sweepstakes,Interest in sweepstakes / contests,No,string(01),Yes(1) / No(null),1,Pipe," 50,614,155 ",18%
Interest / Hobby - Gaming,hobby_board_games,Board Games,Interest in board games,No,string(01),Yes(1) / No(null),1,Pipe," 8,394,634 ",3%
Interest / Hobby - Gaming,hobby_computer_games,Computer Games,Interest in computer games,No,string(01),Yes(1) / No(null),1,Pipe," 9,931,349 ",3%
Interest / Hobby - Gaming,hobby_video_games,Video Games,Interest in video games,No,string(01),Yes(1) / No(null),1,Pipe," 10,359,310 ",4%
Interest / Hobby - Health / Fitness,aerobics,Aerobics,Interest in aerobics,No,string(01),Yes(1) / No(null),1,Pipe," 39,222,683 ",14%
Interest / Hobby - Health / Fitness,diet_weight_loss,Diet Weight Loss,Interest in dieting / weight loss,No,string(01),Yes(1) / No(null),1,Pipe," 40,912,645 ",14%
Interest / Hobby - Health / Fitness,fitness,Fitness,Likes fitness,No,string(01),Yes(1) / No(null),1,Pipe," 11,532,363 ",4%
Interest / Hobby - Health / Fitness,health_living,Healthy Living,"Made up of two of more:  bicycling, running / jogging, self-improvement, health / natural foods, etc.",No,string(01),Yes(1) / No(null),1,Pipe," 91,367,672 ",32%
Interest / Hobby - Health / Fitness,running,Running,Likes running,No,string(01),Yes(1) / No(null),1,Pipe," 13,847,476 ",5%
Interest / Hobby - Health / Fitness,walking,Walking,Likes walking,No,string(01),Yes(1) / No(null),1,Pipe," 35,975,880 ",13%
Interest / Hobby - Music,genre_musictype_christian_or_g,Christian Music,Likes Christian / gospel music genre,No,string(01),Yes(1) / No(null),1,Pipe," 6,520,947 ",2%
Interest / Hobby - Music,genre_musictype_classical,Classical Music,Likes classical music genre,No,string(01),Yes(1) / No(null),1,Pipe," 6,342,276 ",2%
Interest / Hobby - Music,genre_musictype_country,Country Music,Likes country music genre,No,string(01),Yes(1) / No(null),1,Pipe," 11,841,458 ",4%
Interest / Hobby - Music,genre_musictype_jazz,Jazz Music,Likes jazz music genre,No,string(01),Yes(1) / No(null),1,Pipe," 4,876,462 ",2%
Interest / Hobby - Music,genre_musictype_rhythm_and_blu,Rhythm and Blues Music,Likes R&B music genre,No,string(01),Yes(1) / No(null),1,Pipe," 6,396,606 ",2%
Interest / Hobby - Music,genre_musictype_rock_n_roll,Rock and Roll Music,Likes rock and roll music genre,No,string(01),Yes(1) / No(null),1,Pipe," 12,431,524 ",4%
Interest / Hobby - Music,genre_musictype_soft_rock_or_e,Easy Listening Music,Likes soft rock / easy listening music genre,No,string(01),Yes(1) / No(null),1,Pipe," 6,365,771 ",2%
Interest / Hobby - Music,music,Music,Interest in music,No,string(01),Yes(1) / No(null),1,Pipe," 73,667,809 ",26%
Interest / Hobby - Music,music_player,Music Player,Interest in music players,No,string(01),Yes(1) / No(null),1,Pipe," 21,042,292 ",7%
Interest / Hobby - Outdoor,camping_or_hiking,Camping / Hiking,Likes camping / hiking,No,string(01),Yes(1) / No(null),1,Pipe," 33,722,579 ",12%
Interest / Hobby - Outdoor,fishing,Fishing,Likes fishing,No,string(01),Yes(1) / No(null),1,Pipe," 40,447,462 ",14%
Interest / Hobby - Outdoor,gardening,Gardening,Interest in gardening,No,string(01),Yes(1) / No(null),1,Pipe," 105,109,375 ",37%
Interest / Hobby - Outdoor,hobby_bird_watching,Bird Watching,Interest in bird watching,No,string(01),Yes(1) / No(null),1,Pipe," 5,245,819 ",2%
Interest / Hobby - Political,current_affairs_politics,Current Affairs,Interest in current affairs and politics,No,string(01),Yes(1) / No(null),1,Pipe," 44,600,356 ",16%
Interest / Hobby - Reading,avid_readers,Avid Reader,"Avid readers - enjoy reading books, magazines, newspapers",No,string(01),Yes(1) / No(null),1,Pipe," 125,822,813 ",44%
Interest / Hobby - Reading,reading_astrology,Astrology Reading,Reads astrology books,No,string(01),Yes(1) / No(null),1,Pipe," 1,640,185 ",1%
Interest / Hobby - Reading,reading_best_selling_fiction,Fiction Reading,Reads best selling fiction,No,string(01),Yes(1) / No(null),1,Pipe," 9,119,274 ",3%
Interest / Hobby - Reading,reading_bible_or_devotional,Bible Reading,Reads bible / devotional books,No,string(01),Yes(1) / No(null),1,Pipe," 34,389,084 ",12%
Interest / Hobby - Reading,reading_books_on_tape,Books on Tape,Listens to books on tape / audio books,No,string(01),Yes(1) / No(null),1,Pipe," 3,119,827 ",1%
Interest / Hobby - Reading,reading_children_s,Children Reading,Reads children's books,No,string(01),Yes(1) / No(null),1,Pipe," 6,461,634 ",2%
Interest / Hobby - Reading,reading_computer,Computer Reading,Reads computer / technical books / materials,No,string(01),Yes(1) / No(null),1,Pipe," 3,655,520 ",1%
Interest / Hobby - Reading,reading_cooking_or_culinary,Cookbook Reading,Reads cookbooks,No,string(01),Yes(1) / No(null),1,Pipe," 10,377,919 ",4%
Interest / Hobby - Reading,reading_country_lifestyle,Country Book Reading,Reads country lifestyle books / materials,No,string(01),Yes(1) / No(null),1,Pipe," 4,922,914 ",2%
Interest / Hobby - Reading,reading_fashion,Fashion Reading,Reads fashion books / materials,No,string(01),Yes(1) / No(null),1,Pipe," 5,868,633 ",2%
Interest / Hobby - Reading,reading_history,History Reading,Reads history books / materials,No,string(01),Yes(1) / No(null),1,Pipe," 4,363,056 ",2%
Interest / Hobby - Reading,reading_interior_decorating,Interior Decorating,Reads interior decorating books / materials,No,string(01),Yes(1) / No(null),1,Pipe," 6,388,009 ",2%
Interest / Hobby - Reading,reading_medical_or_health,Medical Reading,Reads medical / health books / materials,No,string(01),Yes(1) / No(null),1,Pipe," 7,568,063 ",3%
Interest / Hobby - Reading,reading_military,Military Reading,Reads military books / materials,No,string(01),Yes(1) / No(null),1,Pipe," 1,990,148 ",1%
Interest / Hobby - Reading,reading_mystery,Mystery Reading,Reads mysteries,No,string(01),Yes(1) / No(null),1,Pipe," 7,067,054 ",2%
Interest / Hobby - Reading,reading_natural_health_remedie,Health Remedy Reading,Reads natural heath remedies,No,string(01),Yes(1) / No(null),1,Pipe," 4,851,418 ",2%
Interest / Hobby - Reading,reading_news_finance,News and Finance Reading,Read news and finance / financial newsletters,No,string(01),Yes(1) / No(null),1,Pipe," 38,431,945 ",13%
Interest / Hobby - Reading,reading_people_or_entertainmen,Entertainment Reading,Reads people / entertainment materials,No,string(01),Yes(1) / No(null),1,Pipe," 7,758,336 ",3%
Interest / Hobby - Reading,reading_romance,Romance Reading,Reads romance books,No,string(01),Yes(1) / No(null),1,Pipe," 5,951,115 ",2%
Interest / Hobby - Reading,reading_science_fiction,Science Fiction Reading,Reads science fiction,No,string(01),Yes(1) / No(null),1,Pipe," 7,771,875 ",3%
Interest / Hobby - Reading,reading_science_or_technology,Science Technology Reading,Reads science / technology materials,No,string(01),Yes(1) / No(null),1,Pipe," 3,521,649 ",1%
Interest / Hobby - Reading,reading_sports,Sports Reading,Reads sports ,No,string(01),Yes(1) / No(null),1,Pipe," 7,924,105 ",3%
Interest / Hobby - Reading,reading_world_news_or_politics,World News Reading,Reads world news / political materials,No,string(01),Yes(1) / No(null),1,Pipe," 13,135,371 ",5%
Interest / Hobby - Reading,religious_inspirational,Religious Reading,Reads religious / inspirational materials,No,string(01),Yes(1) / No(null),1,Pipe," 32,992,496 ",12%
Interest / Hobby - Sports / Outdoor,baseball,Baseball,Likes baseball,No,string(01),Yes(1) / No(null),1,Pipe," 27,767,182 ",10%
Interest / Hobby - Sports / Outdoor,basketball,Basketball,Likes basketball,No,string(01),Yes(1) / No(null),1,Pipe," 26,329,220 ",9%
Interest / Hobby - Sports / Outdoor,boating_or_sailing,Boating / Sailing,Likes boating / sailing,No,string(01),Yes(1) / No(null),1,Pipe," 24,865,216 ",9%
Interest / Hobby - Sports / Outdoor,football,Football,Likes football,No,string(01),Yes(1) / No(null),1,Pipe," 37,369,517 ",13%
Interest / Hobby - Sports / Outdoor,golf,Golf,Likes golf,No,string(01),Yes(1) / No(null),1,Pipe," 38,915,970 ",14%
Interest / Hobby - Sports / Outdoor,great_outdoors,Great Outdoors,"Made up of three or more of:  hunting / shooting, sailing / boating, fishing, motorcycling, camping / hiking, recreational vehicles, etc.",No,string(01),Yes(1) / No(null),1,Pipe," 76,475,046 ",27%
Interest / Hobby - Sports / Outdoor,hockey,Hockey,Likes hockey,No,string(01),Yes(1) / No(null),1,Pipe," 10,572,464 ",4%
Interest / Hobby - Sports / Outdoor,hunting,Hunting,Likes hunting,No,string(01),Yes(1) / No(null),1,Pipe," 49,215,146 ",17%
Interest / Hobby - Sports / Outdoor,scuba_diving,SCUBA Diving,Likes SCUBA Diving,No,string(01),Yes(1) / No(null),1,Pipe," 1,074,556 ",0%
Interest / Hobby - Sports / Outdoor,snow_skiing,Snow Skiing,Likes snow skiing,No,string(01),Yes(1) / No(null),1,Pipe," 9,530,034 ",3%
Interest / Hobby - Sports / Outdoor,sporting_life,Sporting Life,Made up of three or more sports,No,string(01),Yes(1) / No(null),1,Pipe," 73,918,419 ",26%
Interest / Hobby - Sports / Outdoor,sports,Sports,Likes sports,No,string(01),Yes(1) / No(null),1,Pipe," 82,775,077 ",29%
Interest / Hobby - Sports / Outdoor,tennis,Tennis,Likes tennis,No,string(01),Yes(1) / No(null),1,Pipe," 4,428,358 ",2%
Retail Purchase - Auto & Vehicles,auto_parts_repair_accesories_w,Auto Parts Purchase,"Automotive, auto parts and accessories purchase within the last 24 months",No,string(01),Yes(1) / No(null),1,Pipe," 15,375,655 ",5%
Retail Purchase - Big Box Retail,membership_warehouse,Warehouse Membership,Owns a warehouse membership,No,string(01),Yes(1) / No(null),1,Pipe," 5,985,762 ",2%
Retail Purchase - Catalog / Direct Mail,mail_buyer,Direct Mail Buyer,Mail order buyer,No,string(01),Yes(1) / No(null),1,Pipe," 125,398,173 ",44%
Retail Purchase - Catalog / Direct Mail,respondedtocatalog,Catalog Buyer,Responded to catalog,No,string(01),Yes(1) / No(null),1,Pipe," 864,508 ",0%
Retail Purchase - Children,mo_children_s_products,Children's Product Purchase,Purchase children's products via mail,No,string(01),Yes(1) / No(null),1,Pipe," 31,126,782 ",11%
Retail Purchase - Contributor / Donor,crafts_hobbmerchbuyer,Craft Hobby Merchandise Buyer,Purchased craft or hobby merchandise via mail,No,string(01),Yes(1) / No(null),1,Pipe," 60,015,452 ",21%
Retail Purchase - Ecommerce,internet_buyer,Internet Buyer,Buys online,No,string(01),Yes(1) / No(null),1,Pipe," 33,764,553 ",12%
Retail Purchase - Entertainment,mo_dvd,DVD Purchase,Purchased DVDs via mail,No,string(01),Yes(1) / No(null),1,Pipe," 3,590,841 ",1%
Retail Purchase - Fashion / Jewelry,mo_clothing,Clothing Purchase,Purchased clothing via mail,No,string(01),Yes(1) / No(null),1,Pipe," 10,579,964 ",4%
Retail Purchase - Fashion / Jewelry,mo_jewelry,Jewelry Purchase,Purchased jewelry via mail,No,string(01),Yes(1) / No(null),1,Pipe," 9,825,111 ",3%
Retail Purchase - Fashion / Jewelry,mo_plus_size_clothing,Plus Size Clothing Purchase,Purchased plus size clothing via mail,No,string(01),Yes(1) / No(null),1,Pipe," 1,271,331 ",0%
Retail Purchase - General,femalemerchbuyer,Female Merchandise Buyer,Female merchandise buyer,No,string(01),Yes(1) / No(null),1,Pipe," 43,586,269 ",15%
Retail Purchase - General,malemerchbuyer,Male Merchandise Buyer,Male merchandise buyer,No,string(01),Yes(1) / No(null),1,Pipe," 790,963 ",0%
Retail Purchase - Gifts,mo_gifts,Gift Purchase,Purchased gifts via mail,No,string(01),Yes(1) / No(null),1,Pipe," 7,043,670 ",2%
Retail Purchase - Health / Beauty,health_beauty,Health Beauty Purchase,Health and beauty product purchase within the last 24 months,No,string(01),Yes(1) / No(null),1,Pipe," 54,631,623 ",19%
Retail Purchase - Health / Beauty,mo_cosmetics,Cosmetics Purchase,Purchased cosmetics via mail,No,string(01),Yes(1) / No(null),1,Pipe," 30,501,863 ",11%
Retail Purchase - Home,home_improvement,Home Improvement,Home improvement purchase,No,string(01),Yes(1) / No(null),1,Pipe," 90,610,860 ",32%
Retail Purchase - Home,mo_home_furnishing,Home Furnishing Purchase,Purchased home furnishings via mail,No,string(01),Yes(1) / No(null),1,Pipe," 93,829,362 ",33%
Retail Purchase - Music,musical_instruments,Musical Instrument Purchase,Musical instrument purchase within the last 24 months,No,string(01),Yes(1) / No(null),1,Pipe," 2,409,030 ",1%
Retail Purchase - Reading,bookbuyer,Book Buyer,Book buyer,No,string(01),Yes(1) / No(null),1,Pipe," 87,556,896 ",31%
Retail Purchase - Reading,magazine,Magazine Buyer,Magazines purchased,No,string(01),Yes(1) / No(null),1,Pipe," 118,236,356 ",41%
Retail Purchase - Reading,mo_books_or_mag,Book Magazine Purchase,Purchased books or magazines via mail,No,string(01),Yes(1) / No(null),1,Pipe," 49,201,468 ",17%
Travel - Business,travel_business,Business Travel,Business travel,No,string(01),Yes(1) / No(null),1,Pipe," 14,702,858 ",5%
Travel - Credit Card,travel_card,Travel Cards,Indicates possession of travel / entertainment credit cards,No,string(01),Yes(1) / No(null),1,Pipe," 12,465,530 ",4%
Travel - Interest,travel,Travel,Interest in travel,No,string(01),Yes(1) / No(null),1,Pipe," 120,116,929 ",42%
Travel - Interest,travel_cruises,Cruises,Likes cruise travel,No,string(01),Yes(1) / No(null),1,Pipe," 35,193,675 ",12%
Travel - Interest,travel_international,International Travel,Interest in international travel,No,string(01),Yes(1) / No(null),1,Pipe," 29,744,568 ",10%
Travel - Interest,travel_personal,Personal Travel,Interest in personal travel,No,string(01),Yes(1) / No(null),1,Pipe," 18,804,957 ",7%
Travel - Interest,travel_vacation,Vacation Travel,Interest in vacation travel,No,string(01),Yes(1) / No(null),1,Pipe," 92,295,519 ",32%
