number,Category,column_name,attribute_name,Description,Datatype
1,Identifier,BLU_ID,Blu ID,Individual Consumer Blu ID,id
2,Identifier,TransUnionHouseholdID,Household ID,Household ID,id
3,Demographic - Age / Gender,Gender,Gender,Gender,categorical
4,Demographic - Income,Income,Income,Estimated Household Income,numeric
5,Demographic - Age / Gender,Age,Age,Age,numeric
6,Demographic - Marital Status,Likely_Recently_Divorced,Likely Recently Divorced,Indicates the likeliness of a divorce within the last twelve months,dummy
7,Demographic - Family Composition,Likely_Recent_Empty_Nester,Likely Recent Empty Nester,Indicates the likeliness of an empty nester where an adult child (18+) has left the home within the last twelve months,dummy
8,Interest / Hobby - Health / Fitness,aerobics,Aerobics,Interest in aerobics,dummy
9,Interest / Hobby - Crafts,art_craft,Art and Crafts,Interest in arts and crafts,dummy
10,Interest / Hobby - Auto & Vehicles,auto_motorcycle_racing,Auto / Motorcycle Racing,Interest in auto / motorcycle racing,dummy
11,Retail Purchase - Auto & Vehicles,auto_parts_repair_accesories_w,Auto Parts Purchase,"Automotive, auto parts and accessories purchase within the last 24 months",dummy
12,Interest / Hobby - Auto & Vehicles,auto_work,Auto Work,Interest in auto work,dummy
13,Interest / Hobby - Reading,avid_readers,Avid Reader,"Avid readers - enjoy reading books, magazines, newspapers",dummy
14,Consumer Finance - Credit Card,bank_card,Bank Card,Owns a bank card,dummy
15,Interest / Hobby - Sports / Outdoor,baseball,Baseball,Likes baseball,dummy
16,Interest / Hobby - Sports / Outdoor,basketball,Basketball,Likes basketball,dummy
17,Interest / Hobby - Sports / Outdoor,boating_or_sailing,Boating / Sailing,Likes boating / sailing,dummy
18,Retail Purchase - Reading,bookbuyer,Book Buyer,Book buyer,dummy
19,Interest / Hobby - Outdoor,camping_or_hiking,Camping / Hiking,Likes camping / hiking,dummy
20,Interest / Hobby - Business,career_minded,Career Minded,Career minded interest,dummy
21,Interest / Hobby - Auto & Vehicles,cars,Cars,Car interest,dummy
22,Interest / Hobby - Gambling,casino_gambling,Casino / Gambling,Interest in casino gambling,dummy
23,Consumer Finance - Credit Card,cc_premium_american_express,Premium Card - American Express,Owns premium American Express credit card (gold or black),dummy
24,Consumer Finance - Credit Card,cc_premium_discover,Premium Card - Discover,Owns premium Discover credit card,dummy
25,Consumer Finance - Credit Card,cc_premium_store_or_retail,Premium Card - Retail or Store,Owns premium retail or store credit card,dummy
26,Consumer Finance - Credit Card,cc_premium_visa_or_mastercard,Premium Card - MasterCard or Visa,Owns premium MasterCard or Visa credit card,dummy
27,Consumer Finance - Credit Card,cc_regular_american_express,Regular Card - American Express,Owns regular American Express credit card,dummy
28,Consumer Finance - Credit Card,cc_regular_discover,Regular Card - Discover,Owns regular Discover credit card,dummy
29,Consumer Finance - Credit Card,cc_regular_store_or_retail,Regular Card - Retail or Store,Owns standard retail or store credit card,dummy
30,Interest / Hobby - Children,children_interests,Children Interest,Interest in children's activities,dummy
31,Household Composition - Children in Household,childrenage0_3gender_female,Presence of Children Age Gender,Children ages 0 to 3 gender Female,dummy
32,Household Composition - Children in Household,childrenage0_3gender_male,Presence of Children Age Gender,Children ages 0 to 3 gender Male,dummy
33,Household Composition - Children in Household,childrenage10_12gender_female,Presence of Children Age Gender,Children ages 10 to 12  gender Female,dummy
34,Household Composition - Children in Household,childrenage10_12gender_male,Presence of Children Age Gender,Children ages 10 to 12 gender Male,dummy
35,Household Composition - Children in Household,childrenage13_18gender_female,Presence of Children Age Gender,Children ages 13 to 18 gender Female,dummy
36,Household Composition - Children in Household,childrenage13_18gender_male,Presence of Children Age Gender,Children ages 13 to 18 gender Male,dummy
37,Household Composition - Children in Household,childrenage4_6gender_female,Presence of Children Age Gender,Children ages 4 to 6 gender Female,dummy
38,Household Composition - Children in Household,childrenage4_6gender_male,Presence of Children Age Gender,Children ages 4 to 6 gender Male,dummy
39,Household Composition - Children in Household,childrenage7_9gender_female,Presence of Children Age Gender,Children ages 7 to 9 gender Female,dummy
40,Household Composition - Children in Household,childrenage7_9gender_male,Presence of Children Age Gender,Children ages 7 to 9 gender Male,dummy
41,Interest / Hobby - Collector,collect_specialfoodsbuyer,Collector Special Foods,Collects special foods buyer,dummy
42,Interest / Hobby - Collector,collector_antiques,Collector Antiques,Collects antiques,dummy
43,Interest / Hobby - Collector,collector_coins,Collector Coins ,Collects coins,dummy
44,Interest / Hobby - Collector,collector_dolls,Collector Dolls,Collects dolls,dummy
45,Interest / Hobby - Collector,collector_figurines,Collector Figurines,Collects figurines,dummy
46,Interest / Hobby - Collector,collector_fine_arts,Collector Fine Art,Collects fine art,dummy
47,Interest / Hobby - Collector,collector_music,Collector Music,Interest in collecting music,dummy
48,Interest / Hobby - Collector,collector_plates,Collector Plates,Collects plates,dummy
49,Interest / Hobby - Collector,collector_sports_memorabilia,Collector Sports Memorabilia,Collects sports memorabilia,dummy
50,Interest / Hobby - Collector,collector_stamps,Collector Stamps,Collects stamps,dummy
51,Interest / Hobby - Collector,collectors,Collectors,Collectors,dummy
52,Interest / Hobby - Electronics,consumer_electronics,Electronics,Interest in consumer electronics,dummy
53,Interest / Hobby - Contributor / Donor,contribute_animal,Contributor Animal,Animal contributor,dummy
54,Interest / Hobby - Contributor / Donor,contribute_childrens,Contributor Children,Children's' contributor,dummy
55,Interest / Hobby - Contributor / Donor,contribute_environm,Contributor Environmental,Environmental contributor,dummy
56,Interest / Hobby - Contributor / Donor,contribute_health,Contributor Health,Health contributor,dummy
57,Interest / Hobby - Contributor / Donor,contribute_political,Contributor Political,Political contributor,dummy
58,Interest / Hobby - Contributor / Donor,contribute_political_conservat,Contributor Political Conservative,Donates to conservative political party,dummy
59,Interest / Hobby - Contributor / Donor,contribute_political_liberal,Contributor Political Liberal,Donates to liberal party,dummy
60,Interest / Hobby - Contributor / Donor,contribute_religious,Contributor Religion,Religious contributor,dummy
61,Interest / Hobby - Contributor / Donor,contribute_veterans,Contributor Veteran,Veterans contributor,dummy
62,Interest / Hobby - Contributor / Donor,contributor_index,Contributor Index,Indicates propensity to be a charitable donor,numeric
63,Interest / Hobby - Contributor / Donor,contributors,Contributors,General contributor,dummy
64,Retail Purchase - Contributor / Donor,crafts_hobbmerchbuyer,Craft Hobby Merchandise Buyer,Purchased craft or hobby merchandise via mail,dummy
65,Consumer Finance - Credit Card,credit_card,Credit Card,Owns a credit card,dummy
66,Consumer Finance - Credit Card,credit_cards_regular_visa_or_m,Regular Card - MasterCard or Visa,Owns standard MasterCard or Visa credit card,dummy
67,Consumer Finance - Credit Card,creditcard_newissue,New Credit Card,New credit card issued,dummy
68,Interest / Hobby - Arts / Photography,cultural_artistic,Cultural Arts,Interest in cultural / artistic,dummy
69,Interest / Hobby - Political,current_affairs_politics,Current Affairs,Interest in current affairs and politics,dummy
70,Interest / Hobby - Health / Fitness,diet_weight_loss,Diet Weight Loss,Interest in dieting / weight loss,dummy
71,Interest / Hobby - DIY,doit_yourselfer,Do It Yourself,"Made up of two or more:  motorcycling, technology, gadgets, recreational vehicle, woodworking, sewing, etc.",dummy
72,Interest / Hobby - Contributor / Donor,donor_arts_or_cultural,Donor Arts,Donates to art / cultural causes,dummy
73,Interest / Hobby - Entertainment,entertainment_enth,Entertainment,Interest in entertainment,dummy
74,Interest / Hobby - Family,family,Family,Interest in family,dummy
75,Household Composition - Household Members,family_position,Family Position,"Indicates the role of a family member such as husband, wife, grandmother, etc.",dummy
76,Retail Purchase - General,femalemerchbuyer,Female Merchandise Buyer,Female merchandise buyer,dummy
77,Interest / Hobby - Outdoor,fishing,Fishing,Likes fishing,dummy
78,Interest / Hobby - Health / Fitness,fitness,Fitness,Likes fitness,dummy
79,Interest / Hobby - Food / Wine / Luxury,food,Food,Food and wine interest,dummy
80,Interest / Hobby - Sports / Outdoor,football,Football,Likes football,dummy
81,Interest / Hobby - Outdoor,gardening,Gardening,Interest in gardening,dummy
82,Consumer Finance - Investment / Wealth,gdiscindex,Discretionary Spend,Discretionary spend index,numeric
83,Household Composition - Household Members,gen_in_household,Generations,Indicates the number of family generations in a household,dummy
84,Household Composition - Grandchildren,general_info_grandchildren_le_,Grandchildren,Grandchildren less than or equal to 12 years old,dummy
85,Interest / Hobby - Music,genre_musictype_christian_or_g,Christian Music,Likes Christian / gospel music genre,dummy
86,Interest / Hobby - Music,genre_musictype_classical,Classical Music,Likes classical music genre,dummy
87,Interest / Hobby - Music,genre_musictype_country,Country Music,Likes country music genre,dummy
88,Interest / Hobby - Music,genre_musictype_jazz,Jazz Music,Likes jazz music genre,dummy
89,Interest / Hobby - Music,genre_musictype_rhythm_and_blu,Rhythm and Blues Music,Likes R&B music genre,dummy
90,Interest / Hobby - Music,genre_musictype_rock_n_roll,Rock and Roll Music,Likes rock and roll music genre,dummy
91,Interest / Hobby - Music,genre_musictype_soft_rock_or_e,Easy Listening Music,Likes soft rock / easy listening music genre,dummy
92,Interest / Hobby - Sports / Outdoor,golf,Golf,Likes golf,dummy
93,Interest / Hobby - Sports / Outdoor,great_outdoors,Great Outdoors,"Made up of three or more of:  hunting / shooting, sailing / boating, fishing, motorcycling, camping / hiking, recreational vehicles, etc.",dummy
94,Retail Purchase - Health / Beauty,health_beauty,Health Beauty Purchase,Health and beauty product purchase within the last 24 months,dummy
95,Interest / Hobby - Health / Fitness,health_living,Healthy Living,"Made up of two of more:  bicycling, running / jogging, self-improvement, health / natural foods, etc.",dummy
96,Interest / Hobby - Electronics,hightechleader,High Tech Leader,Interest in high tech,dummy
97,Interest / Hobby - Outdoor,hobby_bird_watching,Bird Watching,Interest in bird watching,dummy
98,Interest / Hobby - Gaming,hobby_board_games,Board Games,Interest in board games,dummy
99,Interest / Hobby - Food / Wine / Luxury,hobby_cigar_smoking,Cigar Smoking,Interest in cigars,dummy
100,Interest / Hobby - Gaming,hobby_computer_games,Computer Games,Interest in computer games,dummy
101,Interest / Hobby - Food / Wine / Luxury,hobby_cooking,Cooking,Interest in cooking,dummy
102,Interest / Hobby - Food / Wine / Luxury,hobby_cooking_gourmet,Gourmet Cooking,Interest in gourmet cooking,dummy
103,Interest / Hobby - Crafts,hobby_crafts,Crafts,Interest in crafts,dummy
104,Interest / Hobby - Education,hobby_home_study_courses,Home Study,Interest in home study courses,dummy
105,Interest / Hobby - Crafts,hobby_knitting_or_needlework,Knitting,Interest in knitting or needlework,dummy
106,Interest / Hobby - Arts / Photography,hobby_photography,Photography,Interest in photography or videography,dummy
107,Interest / Hobby - Crafts,hobby_quilting,Quilting,Interest in quilting,dummy
108,Interest / Hobby - Education,hobby_self_improvement_courses,Self Improvement,Interest in self improvement courses,dummy
109,Interest / Hobby - Crafts,hobby_sewing,Sewing,Interest in sewing,dummy
110,Interest / Hobby - Gaming,hobby_video_games,Video Games,Interest in video games,dummy
111,Interest / Hobby - Food / Wine / Luxury,hobby_wine_appreciation,Wine Appreciation,Interest in wine,dummy
112,Interest / Hobby - DIY,hobby_woodworking,Woodworking,Interest in woodworking,dummy
113,Interest / Hobby - General,hobbyists,Hobbyists,Hobby interest,dummy
114,Interest / Hobby - Sports / Outdoor,hockey,Hockey,Likes hockey,dummy
115,Interest / Hobby - DIY,home_decor,Home Decor,Home decorators,dummy
116,Retail Purchase - Home,home_improvement,Home Improvement,Home improvement purchase,dummy
117,Interest / Hobby - Sports / Outdoor,hunting,Hunting,Likes hunting,dummy
118,Household Composition - Household Members,inferred_household_rank,Household Rank,"Indicates the inferred household rank, from 1 - 9, of an individual in the household",numeric
119,Retail Purchase - Ecommerce,internet_buyer,Internet Buyer,Buys online,dummy
120,Consumer Finance - Investment / Wealth,investment_type,Investment Type,Type of investment,dummy
121,Consumer Finance - Investment / Wealth,investments,Investments,Owns investments,dummy
122,Consumer Finance - Investment / Wealth,investments_own_mutual_funds_c,Mutual Funds,Owns mutual funds,dummy
123,Consumer Finance - Investment / Wealth,investments_own_stocks_or_bond,Stocks,Owns stocks and bonds,dummy
124,Interest / Hobby - Food / Wine / Luxury,luxury_life,Luxury Life,"Made up of three or more:  gourmet cooking, health / natural foods, wines, fashion clothing, home decor, etc.",dummy
125,Retail Purchase - Reading,magazine,Magazine Buyer,Magazines purchased,dummy
126,Retail Purchase - Catalog / Direct Mail,mail_buyer,Direct Mail Buyer,Mail order buyer,dummy
127,Retail Purchase - General,malemerchbuyer,Male Merchandise Buyer,Male merchandise buyer,dummy
128,Demographic - Marital Status,marital_status,Marital Status,Marital status,dummy
129,Retail Purchase - Big Box Retail,membership_warehouse,Warehouse Membership,Owns a warehouse membership,dummy
130,Retail Purchase - Reading,mo_books_or_mag,Book Magazine Purchase,Purchased books or magazines via mail,dummy
131,Retail Purchase - Children,mo_children_s_products,Children's Product Purchase,Purchase children's products via mail,dummy
132,Retail Purchase - Fashion / Jewelry,mo_clothing,Clothing Purchase,Purchased clothing via mail,dummy
133,Retail Purchase - Health / Beauty,mo_cosmetics,Cosmetics Purchase,Purchased cosmetics via mail,dummy
134,Retail Purchase - Entertainment,mo_dvd,DVD Purchase,Purchased DVDs via mail,dummy
135,Retail Purchase - Gifts,mo_gifts,Gift Purchase,Purchased gifts via mail,dummy
136,Retail Purchase - Home,mo_home_furnishing,Home Furnishing Purchase,Purchased home furnishings via mail,dummy
137,Retail Purchase - Fashion / Jewelry,mo_jewelry,Jewelry Purchase,Purchased jewelry via mail,dummy
138,Retail Purchase - Fashion / Jewelry,mo_plus_size_clothing,Plus Size Clothing Purchase,Purchased plus size clothing via mail,dummy
139,Automotive - Motorcycle,motor_cycle,Motorcycle,Motorcycle ownership code,dummy
140,Interest / Hobby - Entertainment,movie,Movies,Interest in movies,dummy
141,Interest / Hobby - Music,music,Music,Interest in music,dummy
142,Interest / Hobby - Music,music_player,Music Player,Interest in music players,dummy
143,Retail Purchase - Music,musical_instruments,Musical Instrument Purchase,Musical instrument purchase within the last 24 months,dummy
144,Interest / Hobby - Entertainment,nascar,NASCAR,Likes NASCAR racing,dummy
145,Consumer Finance - Investment / Wealth,net_worth,Net Worth,Predicts the range in which household net worth is likely to fall,dummy
146,Retail Purchase - Credit Card / Financing,num_credit_lines,Purchase Using Credit,Indicates credit purchases made in multiple retail stores,numeric
147,Household Composition - Household Members,num_in_household,Number of People,Number of people in the household,numeric
148,Household Composition - Household Members,num_of_adult,Number of Adults,Number of adults in the household,numeric
149,Interest / Hobby - Education,online_education,Online Education,Indicates interest in online education / distance learning,dummy
150,Household Composition - Pet Owner,pets,Pet Owner,Owns at least one pet,dummy
151,Household Composition - Pet Owner,pets_own_at_least_one_cat,Cat Owner,Owns at least one cat,dummy
152,Household Composition - Pet Owner,pets_own_at_least_one_dog,Dog Owner,Owns at least one dog,dummy
153,Household Composition - Political,political_affiliation,Political,Political affiliation,categorical
154,Household Composition - Household Members,presence_of_elderly_parent,Elderly Parent,Presence of elderly relative,dummy
155,Consumer Finance - Credit Card,presence_premium_card,Premium Card,Indicates presence of one or more types of premium credit cards in a household,dummy
156,Consumer Finance - Credit Card,presenceofgoldorplatinumcredit,Gold or Platinum Card,Presence of gold or platinum credit card,dummy
157,Interest / Hobby - Reading,reading_astrology,Astrology Reading,Reads astrology books,dummy
158,Interest / Hobby - Reading,reading_best_selling_fiction,Fiction Reading,Reads best selling fiction,dummy
159,Interest / Hobby - Reading,reading_bible_or_devotional,Bible Reading,Reads bible / devotional books,dummy
160,Interest / Hobby - Reading,reading_books_on_tape,Books on Tape,Listens to books on tape / audio books,dummy
161,Interest / Hobby - Reading,reading_children_s,Children Reading,Reads children's books,dummy
162,Interest / Hobby - Reading,reading_computer,Computer Reading,Reads computer / technical books / materials,dummy
163,Interest / Hobby - Reading,reading_cooking_or_culinary,Cookbook Reading,Reads cookbooks,dummy
164,Interest / Hobby - Reading,reading_country_lifestyle,Country Book Reading,Reads country lifestyle books / materials,dummy
165,Interest / Hobby - Reading,reading_fashion,Fashion Reading,Reads fashion books / materials,dummy
166,Interest / Hobby - Reading,reading_history,History Reading,Reads history books / materials,dummy
167,Interest / Hobby - Reading,reading_interior_decorating,Interior Decorating,Reads interior decorating books / materials,dummy
168,Interest / Hobby - Reading,reading_medical_or_health,Medical Reading,Reads medical / health books / materials,dummy
169,Interest / Hobby - Reading,reading_military,Military Reading,Reads military books / materials,dummy
170,Interest / Hobby - Reading,reading_mystery,Mystery Reading,Reads mysteries,dummy
171,Interest / Hobby - Reading,reading_natural_health_remedie,Health Remedy Reading,Reads natural heath remedies,dummy
172,Interest / Hobby - Reading,reading_news_finance,News and Finance Reading,Read news and finance / financial newsletters,dummy
173,Interest / Hobby - Reading,reading_people_or_entertainmen,Entertainment Reading,Reads people / entertainment materials,dummy
174,Interest / Hobby - Reading,reading_romance,Romance Reading,Reads romance books,dummy
175,Interest / Hobby - Reading,reading_science_fiction,Science Fiction Reading,Reads science fiction,dummy
176,Interest / Hobby - Reading,reading_science_or_technology,Science Technology Reading,Reads science / technology materials,dummy
177,Interest / Hobby - Reading,reading_sports,Sports Reading,Reads sports ,dummy
178,Interest / Hobby - Reading,reading_world_news_or_politics,World News Reading,Reads world news / political materials,dummy
179,Interest / Hobby - Reading,religious_inspirational,Religious Reading,Reads religious / inspirational materials,dummy
180,Home Ownership / Property - Home Ownership,residental_properties_owned,Properties Owned,Indicates the estimated number of housing investment properties owned,numeric
181,Retail Purchase - Catalog / Direct Mail,respondedtocatalog,Catalog Buyer,Responded to catalog,dummy
182,Consumer Finance - Credit Card,retail_card,Retail Card,Presence of retail credit card,dummy
183,Interest / Hobby - Health / Fitness,running,Running,Likes running,dummy
184,Automotive - Auto Owner,rv_own,RV Owner,Recreational vehicle ownership code,dummy
185,Interest / Hobby - Education,science_space,Science Space,Interest in science / space,dummy
186,Interest / Hobby - Sports / Outdoor,scuba_diving,SCUBA Diving,Likes SCUBA Diving,dummy
187,Interest / Hobby - Education,self_improvement,Self Improvement,Interest in self improvement,dummy
188,Interest / Hobby - Sports / Outdoor,snow_skiing,Snow Skiing,Likes snow skiing,dummy
189,Business - Firmographic,soho_business,SOHO business,Operates a home based business,dummy
190,Interest / Hobby - Sports / Outdoor,sporting_life,Sporting Life,Made up of three or more sports,dummy
191,Interest / Hobby - Sports / Outdoor,sports,Sports,Likes sports,dummy
192,Interest / Hobby - Gambling,sports_betting,Sports Betting,Interest in wagering on undefined sporting events,dummy
193,Interest / Hobby - Gambling,sweepstakes_contest,Sweepstakes,Interest in sweepstakes / contests,dummy
194,Interest / Hobby - Sports / Outdoor,tennis,Tennis,Likes tennis,dummy
195,Interest / Hobby - Children,toys,Toys,Interest in toys,dummy
196,Travel - Interest,travel,Travel,Interest in travel,dummy
197,Travel - Business,travel_business,Business Travel,Business travel,dummy
198,Travel - Credit Card,travel_card,Travel Cards,Indicates possession of travel / entertainment credit cards,dummy
199,Travel - Interest,travel_cruises,Cruises,Likes cruise travel,
200,Travel - Interest,travel_international,International Travel,Interest in international travel,
201,Travel - Interest,travel_personal,Personal Travel,Interest in personal travel,
202,Travel - Interest,travel_vacation,Vacation Travel,Interest in vacation travel,
203,Automotive - Auto Owner,truck_owner,Truck Owner,Truck owner code - owns a truck or pickup,
204,Interest / Hobby - Entertainment,tv_sports,TV Sports,Interested in watching sports on TV,
205,Household Composition - Military,veteran_in_household,Veteran,Veteran in household,
206,Household Composition - Political,voter_indicator,Voter,Known registered voter,
207,Interest / Hobby - Health / Fitness,walking,Walking,Likes walking,
208,Consumer Finance - Investment / Wealth,wealthrating,Wealth Rating,Wealth rating,numeric
209,Business - Employee / Owner,working_woman,Working Woman,Indicates that a working woman is present in the household,
210,Household Composition - Household Members,young_adult_in_household,Young Adult,Young adult in household,numeric
211,Geographic - Census,AVG_COMMUTE_DRIVE_TIME,Average Commute Time,Average Minutes Commute Drive Time per Person,numeric
212,Geographic - Census,AVG_YRS_EDUCATION,Average Education,Average Number of Years of Education for Population Age 25+ ,numeric
213,Geographic - Census,AVG_FAMILY_SIZE,Average Family Size,Average Number of People in a Family Household,numeric
214,Geographic - Census,AVG_HH_SIZE,Average Household Size,Average Number of People in a Household,numeric
215,Geographic - Census,AVG_HH_SIZE_OWNER_OCCUPIED,Average Household Size Owner Occupied,Average Number of People per Household for Owner Occupied Households,numeric
216,Geographic - Census,AVG_HH_SIZE_RENTER_OCCUPIED,Average Household Size Renter Occupied,Average Number of People per Household for Renter Occupied Households,numeric
217,Geographic - Census,AVG_NUM_VEHICLES,Average Number of Vehicles,Average Number of Vehicles per Household,numeric
218,Geographic - Census,MEDIAN_AGE,Median Age,Median Household Age,numeric
219,Geographic - Census,median_home_value,Median Home Value,Median Home Value,numeric
220,Geographic - Census,MEDIAN_HOUSING_UNIT_VALUE,Median Housing Unit Value,Median Housing Unit Value,numeric
221,Geographic - Census,MEDIAN_RENT_ASKED,Median Rent Asked,Median Rent Asked,numeric
222,Geographic - Census,MEDIAN_ROOMS_IN_BLDG,Median Rooms,Median Number of Rooms in a Building,numeric
223,Geographic - Census,MEDIAN_YEAR_STRUCTURE_BUILT,Median Year Built,Median Year Structure Built,numeric
224,Geographic - Census,MEDIAN_YR_HH_MV_IN,Median Year Moved In,Median Year Household Moved into Unit,numeric
225,Geographic - Census,PCT_ASIAN,Percent Asian,Determines the percent of race within a geographical area defined by the Census Bureau.,numeric
226,Geographic - Census,PCT_ASIAN_SPEAKING,Percent Asian Speaking,Determines the percent of a language within a geographical area defined by the Census Bureau,numeric
227,Geographic - Census,PCT_BLACK,Percent Black,Determines the percent of race within a geographical area defined by the Census Bureau,numeric
228,Geographic - Census,PCT_IN_CONSTRUCTION_MAINT,Percent Construction,Determines the percent of occupation within a geographical area defined by the Census Bureau,numeric
229,Geographic - Census,PCT_ENGLISH_SPEAKING,Percent English Speaking,Determines the percent of a language within a geographical area defined by the Census Bureau,numeric
230,Geographic - Census,PCT_FAMILY_HH,Percent Families,Determines the percent of family composition within a geographical area defined by the Census Bureau,numeric
231,Geographic - Census,PCT_IN_FARM_FISH_FOREST,Percent Farming,Determines the percent of occupation within a geographical area defined by the Census Bureau,numeric
232,Geographic - Census,PCT_HISPANIC,Percent Hispanic,Determines the percent of race within a geographical area defined by the Census Bureau,numeric
233,Geographic - Census,PCT_INDO_EURO_SPEAKING,Percent Indo-European Speaking,Determines the percent of a language within a geographical area defined by the Census Bureau,numeric
234,Geographic - Census,PCT_IN_MGMT,Percent Management,Determines the percent of occupation within a geographical area defined by the Census Bureau,numeric
235,Geographic - Census,PCT_MARRIED_BY_POPULATION,Percent Married,Determines the percent of marital status within a geographical area defined by the Census Bureau,numeric
236,Geographic - Census,PCT_MFDU,Percent MFDU,Determines the perecent of a property type within a geographical area defined by the Census Bureau,numeric
237,Geographic - Census,PCT_MULTIRACE,Percent Multi Race,Determines the percent of race within a geographical area defined by the Census Bureau,numeric
238,Geographic - Census,PCT_NATIVE_AMERICAN,Percent Native American,Determines the percent of race within a geographical area defined by the Census Bureau,numeric
239,Geographic - Census,PCT_NON_FAMILY_HH,Percent Non Families,Determines the percent of family composition within a geographical area defined by the Census Bureau,numeric
240,Geographic - Census,PCT_OTHER_RACE,Percent Other Race,Determines the percent of race within a geographical area defined by the Census Bureau,numeric
241,Geographic - Census,PCT_OTHER_SPEAKING,Percent Other Speaking,Determines the percent of a language within a geographical area defined by the Census Bureau,numeric
242,Geographic - Census,PCT_OWNER_OCCUPIED,Percent Owner Occupied,Determines the percent of a household composition within a geographical area defined by the Census Bureau,numeric
243,Geographic - Census,PCT_PACIFIC_ISLE,Percent Pacific Islander,Determines the percent of race within a geographical area defined by the Census Bureau,numeric
244,Geographic - Census,PCT_RENTER_OCCUPIED,Percent Renter Occupied,Determines the percent of a household composition within a geographical area defined by the Census Bureau,numeric
245,Geographic - Census,PCT_IN_SALES,Percent Sales,Determines the percent of occupation within a geographical area defined by the Census Bureau,numeric
246,Geographic - Census,PCT_SCHOOL_ENROLLED,Percent School Enrollment,Determines the percent of school enrollment within a geographical area defined by the Census Bureau,numeric
247,Geographic - Census,PCT_IN_SERVICE,Percent Service,Determines the percent of occupation within a geographical area defined by the Census Bureau,numeric
248,Geographic - Census,PCT_SFDU,Percent SFDU,Determines the perecent of a property type within a geographical area defined by the Census Bureau,numeric
249,Geographic - Census,PCT_SPANISH_SPEAKING,Percent Spanish Speaking,Determines the percent of a language within a geographical area defined by the Census Bureau,numeric
250,Geographic - Census,PCT_IN_PROD_TRANS,Percent Transportation,Determines the percent of occupation within a geographical area defined by the Census Bureau,numeric
251,Geographic - Census,PCT_WHITE,Percent White,Determines the percent of race within a geographical area defined by the Census Bureau,numeric
252,Geographic - Location,CBSA_CODE,CBSA Code,Geographic area defined by the Census Bureau,categorical
253,Geographic - Location,CBSA_DIVISION_CODE,CBSA Division Code,"Code assigned to a subset of a CBSA, as defined by the Census Bureau",categorical
254,Geographic - Location,CBSA_DIVISION_LEVEL,CBSA Division Level,Indicates whether the CBSA Division is an MSA (Metropolitan Statistical Area) or not,dummy
255,Geographic - Location,Census_Tract,Census Tract,Geographic boundary set by the Census Bureau,categorical
256,Geographic - Location,Census_Block_Group,Census Block Group,Geographic unit used by the Census Bureau,categorical
257,Geographic - Location,Census_Block_ID,Census Block ID,Geographic ID associated to a Census Block Group,categorical
258,Geographic - Location,CONGRESS_DIST,Congressional District,"Code for a congressional district, based on population and defined by the Census Bureau",categorical
259,Geographic - Census,COUNTY_NAME,County,"Name of county, or administrative subdivision, of a state",categorical
260,Geographic - Census,COUNTY_CODE,County Code,Federal Information Processing Standards code assigned to a county,categorical
261,Geographic - Location,MSA,MSA Code,Metropolitan Statistical Area Code,categorical
262,Geographic - Location,STATE,State Code,State Abbreviation,categorical
263,Geographic - Location,ZIP11,ZIP11,ZIP11,categorical
264,Geographic - Census,FIPS,FIPS,FIPS,categorical
265,Geographic - Location,URBANICITY,Urbanicity,"Urbanicity code (Rural, Urban, Suburban )",categorical
266,Consumer Finance - Credit Cards,CVH02,Low Card Spenders,Indicates lower than average spending based on credit card activity over last 12 months,dummy
267,Consumer Finance - Credit Cards,CVH06,High Card Spenders,Indicates higher than average spending based on credit card activity over last 12 months,dummy
268,Consumer Finance - Credit Cards,CVH14,Decrease in Year-Over-Year Spend over 12-Months,Decrease in average credit card spend over the most recent 12 months versus the prior 12 months,dummy
269,Consumer Finance - Credit Cards,CVH18,Increase in Year-Over-Year Spend over 12-Months,Increase in average credit card spend over the most recent 12 months versus the prior 12 months,dummy
270,Consumer Finance - Credit Cards,CVH20,Decrease in Year-Over-Year Spend over 3-Months,Decrease in average credit card spend this quarter vs. the same quarter one year ago,dummy
