number,Category,column_name,attribute_name,Description,Datatype
271,Consumer Finance - Credit Cards,CVH24,Increase in Year-Over-Year Spend over 3-Months,Increase in average credit card spend this quarter vs. the same quarter one year ago,dummy
272,Consumer Finance - Installment Loans,CVH48,Low Prepayers on Loans,Measures average total amount or number of times prepaid on installment loans in last 12 months - average on lower scale,dummy
273,Consumer Finance - Installment Loans,CVH52,High Prepayers on Loans,Measures average total amount or number of times prepaid on installment loans in last 12 months - average on higher scale,dummy
274,Consumer Finance - Credit Cards,CVH54,Low Balance Shift to Other Cards,Aggregated households that moved a low % of credit card balances from one credit card to another card in past 12 months,dummy
275,Consumer Finance - Credit Cards,CVH58,High Balance Shift to Other Cards,Aggregated households that moved a high % of credit card balances from one credit card to another card in past 12 months,dummy
276,Consumer Finance - Credit Cards,CVH113,Carries Balance on Cards (Revolvers),Aggregated households with behavior of not paying off full balance on 1 or more credit cards over the course of 3 months,dummy
277,Consumer Finance - In-Market,CVH128,Most Likely to Apply for an Auto Loan Refinance,"Likelihood to apply for an auto loan refinance within the next 6 months, model reflects top ranking aggregated households",dummy
278,Consumer Finance - Credit Cards,CVH139,Most Likely to Respond to a Credit Card Offer,"Likelihood to apply for a credit card within the next 3 months, model reflects top ranking aggregated households",dummy
279,Consumer Finance - In-Market,CVH149,Most Likely to Apply for a Mortgage Loan,"Likelihood to apply for a mortgage loan within the next 3 months, model reflects top ranking aggregated households",dummy
280,Consumer Finance - In-Market,CVH159,Most Likely to Apply for an Auto Loan,"Likelihood to apply for an auto loan within the next 3 months, model reflects top ranking aggregated households",dummy
281,Consumer Finance - In-Market,CVH169,Most Likely to Apply for a Personal Loan,"Likelihood to apply for a personal loan within the next 3 months, model reflects top ranking aggregated households",dummy
282,Consumer Finance - In-Market,CVH205,Most Likely to Apply for a Home Equity Loan,"Likelihood to apply for a home equity loan within the next 3 months, model reflects top ranking aggregated households",dummy
283,Consumer Finance - Insurance,IHS70,Auto Insurance Most Likely to File a Claim,Indicates the likelihood to file a claim,dummy
284,Consumer Finance - Insurance,IHS74,Auto Insurance Least Likely to File a Claim,Indicates the likelihood to file a claim,dummy
285,Consumer Finance - Credit Behavior,CVH190,Sub Prime - 1st Quartile (Lowest Average Credit Score),Measures average aggregated credit score of consumers,dummy
286,Consumer Finance - Credit Behavior,CVH191,Sub Prime to Near Prime - 2nd Quartile,Measures average aggregated credit score of consumers,dummy
287,Consumer Finance - Credit Behavior,CVH192,Near Prime to Prime - 3rd Quartile,Measures average aggregated credit score of consumers,dummy
288,Consumer Finance - Credit Behavior,CVH193,Prime to Super Prime - 4th Quartile (Highest Average Credit Score),Measures average aggregated credit score of consumers,dummy
289,Consumer Finance - Credit Cards,CHH05,Opened Lowest # of New Accounts,Lowest number of new consumer credit accounts opened in the past twelve (12) months,dummy
290,Consumer Finance - Credit Cards,CHH08,Opened Highest # of New Accounts,Highest number of new consumer credit accounts opened in the past twelve (12) months,dummy
291,Consumer Finance - Credit Card,CHH17,Low Recent Card App. Activity,Aggregated households with low recent credit card application activity in past six (6) months,dummy
292,Consumer Finance - Credit Cards,CHH20,High Recent Card App. Activity,Aggregated households with high recent credit card application activity in past six (6) months,dummy
293,Automotive - Auto & Vehicle Financing,CHA01,"Lowest # of Active, Open Auto Loans","Indicates aggregated households with lowest number of active, open auto loans",dummy
294,Automotive - Auto & Vehicle Financing,CHA04,"Highest # of Active, Open Auto Loans","Indicates aggregated households with highest number of active, open auto loans",dummy
295,Automotive - Auto & Vehicle Financing,CHA05,Lowest Auto Loan Balance,Indicates aggregated households with lowest balance on open auto loans,dummy
296,Automotive - Auto & Vehicle Financing,CHA08,Highest Auto Loan Balance,Indicates aggregated households with highest balance on open auto loans,dummy
297,Consumer Finance - Credit Cards,CHC01,Low # of Active Credit Cards,"Aggregated households with the lowest number of active, open credit cards",dummy
298,Consumer Finance - Credit Cards,CHC04,High # of Active Credit Cards,"Aggregated households with the highest number of active, open credit cards",dummy
299,Consumer Finance - Credit Cards,CHC12,Highest Balance to Credit Ratio,"Indicates aggregated households with highest average card utilization, signifying likelihood to shift balances",dummy
300,Consumer Finance - Credit Cards,CHC13,Low Total Credit Card Balance,Lowest average total credit card balance,dummy
301,Consumer Finance - Credit Cards,CHC16,High Total Credit Card Balance,Highest average total credit card balance,dummy
302,Consumer Finance - Credit Card,CHR01,Low # of Active Retail Cards,"Aggregated households with the lowest number of active, open retail credit cards",dummy
303,Consumer Finance - Credit Cards,CHR04,High # of Active Retail Cards,"Aggregated households with the highest number of active, open retail credit cards",dummy
304,Consumer Finance - Mortgage,CHM01,Low # of Open Mortgages,"Measures average number of active, open mortgages (e.g. 1st & 2nd, etc.) across aggregated households.",dummy
305,Consumer Finance - Mortgages,CHM04,High # of Open Mortgages,"Measures average number of active, open mortgages (e.g. 1st & 2nd, etc.) across aggregated households.",dummy
306,Consumer Finance - Mortgage,CHM05,Low Recent Mortgage Applications,Measures average number of mortgage inquiries in the last six (6) months,dummy
307,Consumer Finance - Mortgages,CHM06,High Recent Mortgage Applications,Measures average number of mortgage inquiries in the last six (6) months,dummy
308,Consumer Finance - Mortgages,CHM11,Lowest Outstanding Mortgage Balance,"Measures average outstanding balance of active, open mortgages (e.g. 1st & 2nd, etc.) across aggregated households.",dummy
309,Consumer Finance - Mortgages,CHM14,Highest Outstanding Mortgage Balance,"Measures average outstanding balance of active, open mortgages (e.g. 1st & 2nd, etc.) across aggregated households.",dummy
310,Consumer Finance - Insurance,IHS57,Property Insurance Most Likely to File a Claim,Indicates the likelihood to file a claim,dummy
311,Consumer Finance - Insurance,IHS59,Property Insurance Least Likely to File a Claim,Indicates the likelihood to file a claim,dummy
312,Consumer Finance - Insurance,IHS61,Lowest Life Insurance Loyalty,Measures average likelihood of aggregated households to continue their life insurance policy for at least 3 years,dummy
313,Consumer Finance - Insurance,IHS64,Highest Life Insurance Loyalty,Measures average likelihood of aggregated households to continue their life insurance policy for at least 3 years,dummy
314,Consumer Finance - In-Market,CombineSeg01B,High Income Most Likely to Apply for an Auto Loan,"Likelihood to apply for an auto loan within the next 3 months, model reflects top ranking aggregated households with income of $100K+",dummy
315,Consumer Finance - In-Market,CombineSeg02B,High Income Most Likely to Respond to a Credit Card Offer,"Likelihood to apply for a credit card within the next 3 months, model reflects top ranking aggregated households with income of $100K+",dummy
316,Consumer Finance - In-Market,CombineSeg03A,High Income Most Likely to Apply for a Mortgage Loan,"Likelihood to apply for a mortgage loan within the next 3 months, model reflects top ranking aggregated households with income of $100K+",dummy
317,Consumer Finance - In-Market,CombineSeg06B,Males Most Likely to Apply for an Auto Loan,"Likelihood to apply for an auto loan within the next 3 months, model reflects top ranking aggregated households with males",dummy
318,Consumer Finance - In-Market,CombineSeg07B,Females Most Likely to Apply for an Auto Loan,"Likelihood to apply for an auto loan within the next 3 months, model reflects top ranking aggregated households with females",dummy
319,Consumer Finance - In-Market,CombineSeg08A,Young Consumers Likely to Apply for a Mortgage Loan,"Likelihood to apply for a mortgage loan within the next 3 months, model reflects top ranking aggregated households ages 25-34",dummy
320,Consumer Finance - In-Market,ACDSCOM101,Most Likely to be Shopping for Insurance,Indicates aggregated households with highest average insurance shopping activity.,dummy
321,Home Ownership / Property - Property,PRPTY001,Residential - Single Family,Indicates a single family residence - includes single family homes and townhomes,dummy
322,Home Ownership / Property - Property,PRPTY002,Residential - Multi Family,Indicates a multi family residence - includes apartment buildings and condominiums,dummy
323,Home Ownership / Property - Property,PRPTY003,Commercial,"Indicates a commercial property - includes office buildings, small businesses",dummy
324,Home Ownership / Property - Property,PRPTY004,Home Built Before 1900,Indicates the age of a single family residence grouped by year built before 1900,dummy
325,Home Ownership / Property - Property,PRPTY005,Home Built From 1900 - 1940,Indicates the age of a single family residence grouped by year built between 1900 and 1940,dummy
326,Home Ownership / Property - Property,PRPTY006,Home Built From 1941 - 1950,Indicates the age of a single family residence grouped by year built between 1941 and 1950,dummy
327,Home Ownership / Property - Property,PRPTY007,Home Built From 1951 - 1960,Indicates the age of a single family residence grouped by year built between 1951 and 1960,dummy
328,Home Ownership / Property - Property,PRPTY008,Home Built From 1961 - 1970,Indicates the age of a single family residence grouped by year built between 1961 and 1970,dummy
329,Home Ownership / Property - Property,PRPTY009,Home Built From 1971 - 1980,Indicates the age of a single family residence grouped by year built between 1971 and 1980,dummy
330,Home Ownership / Property - Property,PRPTY010,Home Built From 1981 - 1990,Indicates the age of a single family residence grouped by year built between 1981 and 1990,dummy
331,Home Ownership / Property - Property,PRPTY011,Home Built From 1991 - 1995,Indicates the age of a single family residence grouped by year built between 1991 and 1995,dummy
332,Home Ownership / Property - Property,PRPTY012,Home Built From 1996 - 2000,Indicates the age of a single family residence grouped by year built between 1996 and 2000,dummy
333,Home Ownership / Property - Property,PRPTY013,Home Built From 2001 - 2005,Indicates the age of a single family residence grouped by year built between 2001 and 2005,dummy
334,Home Ownership / Property - Property,PRPTY014,Home Built From 2006 - 2010,Indicates the age of a single family residence grouped by year built between 2006 and 2010,dummy
335,Home Ownership / Property - Property,PRPTY015,Home Built After 2010,Indicates the age of a single family residence grouped by year built after 2010,dummy
336,Home Ownership / Property - Home Ownership,PRPTY016,Home Ownership Less Than One Year,Indicates length of single family home ownership of less than one year,dummy
337,Home Ownership / Property - Home Ownership,PRPTY017,Home Ownership 1 - 3 Years,Indicates length of single family home ownership between one and three years,dummy
338,Home Ownership / Property - Home Ownership,PRPTY018,Home Ownership 3 - 7 Years,Indicates length of single family home ownership between three and seven years,dummy
339,Home Ownership / Property - Home Ownership,PRPTY019,Home Ownership 7 - 15 Years,Indicates length of single family home ownership between seven and fifteen years,dummy
340,Home Ownership / Property - Home Ownership,PRPTY020,Home Ownership More Than 15 Years,Indicates length of single family home ownership of more than fifteen years,dummy
341,Home Ownership / Property - Property,PRPTY021,"Less than $100,000 Home Purchase Price","Indicates single family home purchase price of less than $100,000",dummy
342,Home Ownership / Property - Property,PRPTY022,"$100,000 - $200,000 Home Purchase Price","Indicates single family home purchase price of $100,000 to $200,000",dummy
343,Home Ownership / Property - Property,PRPTY023,"$200,001 - $300,000 Home Purchase Price","Indicates single family home purchase price of $200,001 to $300,000",dummy
344,Home Ownership / Property - Property,PRPTY024,"$300,001 - $400,000 Home Purchase Price","Indicates single family home purchase price of $300,001 to $400,000",dummy
345,Home Ownership / Property - Property,PRPTY025,"$400,001 - $500,000 Home Purchase Price","Indicates single family home purchase price of $400,001 to $500,000",dummy
346,Home Ownership / Property - Property,PRPTY026,"$500,001 - $700,000 Home Purchase Price","Indicates single family home purchase price of $500,001 to $700,000",dummy
347,Home Ownership / Property - Property,PRPTY027,"$700,001 - $1,000,000 Home Price","Indicates single family home purchase price of $700,001 to $1,000,000",dummy
348,Home Ownership / Property - Property,PRPTY028,"Greater than $1,000,000 Home Price","Indicates single family home purchase price of greater than $1,000,000",dummy
349,Home Ownership / Property - Property,PRPTY029,"Less than $100,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of less than $100,000",dummy
350,Home Ownership / Property - Property,PRPTY030,"$100,000 - $150,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $100,000 to $150,000",dummy
351,Home Ownership / Property - Property,PRPTY031,"$150,001 - $200,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $150,001 to $200,000",dummy
352,Home Ownership / Property - Property,PRPTY032,"$200,001 - $250,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $200,001 to $250,000",dummy
353,Home Ownership / Property - Property,PRPTY033,"$250,001 - $300,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $250,001 to $300,000",dummy
354,Home Ownership / Property - Property,PRPTY034,"$300,001 - $350,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $300,001 to $350,000",dummy
355,Home Ownership / Property - Property,PRPTY035,"$350,001 - $400,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $350,001 to $400,000",dummy
356,Home Ownership / Property - Property,PRPTY036,"$400,001 - $450,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $400,001 to $450,000",dummy
357,Home Ownership / Property - Property,PRPTY037,"$450,001 - $500,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $450,001 to $500,000",dummy
358,Home Ownership / Property - Property,PRPTY038,"$500,001 - $600,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $500,001 to $600,000",dummy
359,Home Ownership / Property - Property,PRPTY039,"$600,001- $700,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $600,001 to $700,000",dummy
360,Home Ownership / Property - Property,PRPTY040,"$700,001 - $800,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $700,001 to $800,000",dummy
361,Home Ownership / Property - Property,PRPTY041,"$800,001 - $1,000,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of $800,001 to $1,000,000",dummy
362,Home Ownership / Property - Property,PRPTY042,"Greater than $1,000,000 Property Value","Indicates single home value (based on automated valuation model or AVM) of greater than $1,000,000",dummy
363,Home Ownership / Property - Property,PRPTY043,"Home Size is 1,000 - 1,499 Square Feet","Indicates the square footage of a home is between 1,000 and 1,499 square feet",dummy
364,Home Ownership / Property - Property,PRPTY044,"Home Size is 1,500 - 2,000 Square Feet","Indicates the square footage of a home is between 1,500 and 2,000 square feet",dummy
365,Home Ownership / Property - Property,PRPTY045,"Home Size is 2,001 - 3,000 Square Feet","Indicates the square footage of a home is between 2,001 and 3,000 square feet",dummy
366,Home Ownership / Property - Property,PRPTY046,"Home Size is +3,000 Square Feet","Indicates the square footage of a home is greater than 3,000 square feet",dummy
367,Home Ownership / Property - Property,PRPTY047,0 Bedrooms,"Indicates the number of bedrooms in a home is zero (studio, etc.)",dummy
368,Home Ownership / Property - Property,PRPTY048,1 - 2 Bedrooms,Indicates the number of bedrooms in a home is one or two,dummy
369,Home Ownership / Property - Property,PRPTY049,3 Bedrooms,Indicates the number of bedrooms in a home is three,dummy
370,Home Ownership / Property - Property,PRPTY050,4 Bedrooms,Indicates the number of bedrooms in a home is four,dummy
371,Home Ownership / Property - Property,PRPTY051,5+ Bedrooms,Indicates the number of bedrooms in a home is five or more,dummy
372,Home Ownership / Property - Property,PRPTY052,Has Swimming Pool,Indicates the presence of a swimming pool on a property,dummy
373,Home Ownership / Property - Property,PRPTY053,Air Conditioning,Indicates the presence of air conditioning in a home,dummy
374,Home Ownership / Property - Property,PRPTY054,Heating,Indicates the presence of heating in a home,dummy
375,Home Ownership / Property - Property,PRPTY055,Aluminum or Vinyl,Indicates the exterior siding material of a home is aluminum or vinyl,dummy
376,Home Ownership / Property - Property,PRPTY056,Brick,Indicates the exterior siding material of a home is brick,dummy
377,Home Ownership / Property - Property,PRPTY057,Wood,Indicates the exterior siding material of a home is wood,dummy
378,Home Ownership / Property - Property,PRPTY058,1 Car Garage,Indicates the number of parking spots in a garage is one,dummy
379,Home Ownership / Property - Property,PRPTY059,2 Car Garage,Indicates the number of parking spots in a garage is two,dummy
380,Home Ownership / Property - Property,PRPTY060,3 Car Garage,Indicates the number of parking spots in a garage is three,dummy
381,Home Ownership / Property - Property,PRPTY061,4+ Car Garage,Indicates the number of parking spots in a garage is four or more,dummy
382,Home Ownership / Property - Property,PRPTY062,Attached Garage,Indicates the presence of a garage attached to a property,dummy
383,Home Ownership / Property - Property,PRPTY063,Has Garage,Indicates the presence of a garage on a property,dummy
384,Home Ownership / Property - Property,PRPTY064,Asphalt,Indicates the roofing material of a home is asphalt,dummy
385,Home Ownership / Property - Property,PRPTY065,Composition Shingle,Indicates the roofing material of a home is composition shingle,dummy
386,Home Ownership / Property - Property,PRPTY066,Metal,Indicates the roofing material of a home is metal,dummy
387,Home Ownership / Property - Property,PRPTY067,Shingle (Non-Wood),Indicates the roofing material of a home is shingle not made of wood,dummy
388,Home Ownership / Property - Property,PRPTY068,Tile,Indicates the roofing material of a home is tile,dummy
389,Home Ownership / Property - Property,PRPTY069,Other,"Indicates the roofing material of a home is other than asphalt, composition shingle, metal, non-wood shingle, or tile",dummy
390,Home Ownership / Property - Property,PRPTY070,Recent First Time Home Buyer,First time homebuyer that has purchased a home in last 90 days and has not owned property in last 3 years (FHA definition),dummy
391,Home Ownership / Property - Mortgage,PRPTY077,Purchased Home in Last Six Months,Indicates homebuyer that purchased within the last six months,dummy
392,Home Ownership / Property - Property,PRPTY079,Purchased Home in Last Twelve Months,Indicates homebuyer that purchased within the last twelve months,dummy
393,Home Ownership / Property - Home Ownership,PRPTY080,Home Owner,Indicates a homeowner,dummy
394,Home Ownership / Property - Property,PRPTY081,Renter,Indicates a renter,dummy
395,Home Ownership / Property - Property,PRPTY082,Property Investor,Indicates a property investor,dummy
396,Home Ownership / Property - Property,PRPTY088,Single Family Residence,Indicates the type of home to be a single family residence (includes planned unit developments),dummy
397,Home Ownership / Property - Property,PRPTY089,Multifamily 2 - 4 Units,Indicates the type of home to be a multifamily (includes townhouses and condominiums) between 2-4 units,dummy
398,Home Ownership / Property - Property,PRPTY090,Multifamily 5+ Units,Indicates the type of home to be a multifamily of 5 units or greater,dummy
399,Home Ownership / Property - Property,PRPTY091,Manufactured Housing,Indicates the type of home to be manufactured housing,dummy
400,Home Ownership / Property - Property,PRPTY093,Property Less Than 0.25 Acres,Indicates the property size of a home to be less than 0.25 acres,dummy
401,Home Ownership / Property - Property,PRPTY094,Property Size Between 0.26 - 0.5 Acres,Indicates the property size of a home to be between 0.26 and 0.5 acres,dummy
402,Home Ownership / Property - Property,PRPTY095,Property Size Between 0.51 - 0.75 Acres,Indicates the property size of a home to be between 0.51 and 0.75 acres,dummy
403,Home Ownership / Property - Property,PRPTY096,Property Size Between 0.76 - 1 Acres,Indicates the property size of a home to be between 0.76 and 1 acres,dummy
404,Home Ownership / Property - Property,PRPTY097,Property Size Between 1.01 - 5 Acres,Indicates the property size of a home to be between 1.01 and 5 acres,dummy
405,Home Ownership / Property - Property,PRPTY098,Property Size Between 5.01 - 10 Acres,Indicates the property size of a home to be between 5.01 and 10 acres,dummy
406,Home Ownership / Property - Property,PRPTY099,Property Size Between 10.01 - 20 Acres,Indicates the property size of a home to be between 10.01 and 20 acres,dummy
407,Home Ownership / Property - Property,PRPTY100,Property Size Between 20.01 - 30 Acres,Indicates the property size of a home to be between 20.01 and 30 acres,dummy
408,Home Ownership / Property - Property,PRPTY101,Property Size Between 30.01 - 40 Acres,Indicates the property size of a home to be between 30.01 and 40 acres,dummy
409,Home Ownership / Property - Property,PRPTY102,Property Size Greater than 40 Acres,Indicates the property size of a home to be greater than 40 acres,dummy
410,Home Ownership / Property - Property,PRPTY105,"Mortgage is Less Than $50,000","Indicates a mortgage loan amount of less than $50,000",dummy
411,Home Ownership / Property - Property,PRPTY106,"Mortgage is $50,000 - $100,000","Indicates a mortgage loan amount of $50,000 to $100,000",dummy
412,Home Ownership / Property - Property,PRPTY107,"Mortgage is $100,001 - $150,000","Indicates a mortgage loan amount of $100,001 to $150,000",dummy
413,Home Ownership / Property - Property,PRPTY108,"Mortgage is $150,001 - $200,000","Indicates a mortgage loan amount of $150,001 to $200,000",dummy
414,Home Ownership / Property - Property,PRPTY109,"Mortgage is $200,001 - $250,000","Indicates a mortgage loan amount of $200,001 to $250,000",dummy
415,Home Ownership / Property - Property,PRPTY110,"Mortgage is $250,001 - $300,000","Indicates a mortgage loan amount of $250,001 to $300,000",dummy
416,Home Ownership / Property - Property,PRPTY111,"Mortgage is $300,001 - $350,000","Indicates a mortgage loan amount of $300,001 to $350,000",dummy
417,Home Ownership / Property - Property,PRPTY112,"Mortgage is $350,001 - $400,000","Indicates a mortgage loan amount of $350,001 to $400,000",dummy
418,Home Ownership / Property - Property,PRPTY113,"Mortgage is $400,001 - $453,100","Indicates a mortgage loan amount of $400,001 to $453,100",dummy
419,Home Ownership / Property - Property,PRPTY114,"Mortgage is Greater than $453,100","Indicates a mortgage loan amount of greater than $453,100",dummy
420,Home Ownership / Property - Property,PRPTY116,First Time Home Buyer Mortgage (FHA),Indicates the type of mortgage loan opened is first time homebuyer (as classified by FHA),dummy
421,Home Ownership / Property - Property,PRPTY117,VA Mortgage,Indicates the type of mortgage loan opened is a Veteran/VA loan,dummy
422,Home Ownership / Property - Property,PRPTY120,Refinance Mortgage Loan,Indicates the mortgage loan transaction type is a refinance,dummy
423,Home Ownership / Property - Home Ownership,PRPTY121,Homeowners Association Member,Indicates a homeowners association member,dummy
424,Home Ownership / Property - Mortgage,PRPTY124,0-1 Year Since Last Mortgage,Indicates the length of time since the last home loan was originated as 0-1 Year,dummy
425,Home Ownership / Property - Property,PRPTY125,1-3 Years Since Last Mortgage,Indicates the length of time since the last home loan was originated as 1-3 Years,dummy
426,Home Ownership / Property - Property,PRPTY126,3-5 Years Since Last Mortgage,Indicates the length of time since the last home loan was originated as 3-5 years,dummy
427,Home Ownership / Property - Property,PRPTY127,5-7 Years Since Last Mortgage,Indicates the length of time since the last home loan was originated as 5-7 years,dummy
428,Home Ownership / Property - Property,PRPTY128,7-10 Years Since Last Mortgage,Indicates the length of time since the last home loan was originated as 7-10 years,dummy
429,Home Ownership / Property - Property,PRPTY129,10-15 Years Since Last Mortgage,Indicates the length of time since the last home loan was originated as 10-15 years,dummy
430,Home Ownership / Property - Property,PRPTY130,15+ Years Since Last Mortgage,Indicates the length of time since the last home loan was originated as more than 15+ years,dummy
431,Home Ownership / Property - Mortgage,PRPTY143,Free and Clear Homeowners,Indicates there is no mortgage or home equity loans on the property,dummy
432,Home Ownership / Property - Mortgage,PRPTY144,Low Loan to Value,Indicates the ratio of mortgage and home equity loans taken out on the property to the property value as less than 50%.,dummy
433,Home Ownership / Property - Mortgage,PRPTYCOM101,Moderate Loan to Value,Indicates the ratio of mortgage and home equity loans taken out on the property to the property value as 50 - 80%,dummy
434,Home Ownership / Property - Mortgage,PRPTYCOM102,High Loan to Value,Indicates the ratio of mortgage and home equity loans taken out on the property to the property value as more than 80%,dummy
435,Home Ownership / Property - Property,PRPTYCOM103,Home has Appreciated in Last 12 Mos.,Indicates that a home value (based on AVM or Automated Valuation Model) has likely appreciated in last 12 months. ,dummy
436,Home Ownership / Property - Property,PRPTYCOM104,Home has Depreciated in Last 12 Mos.,Indicates that a home value (based on AVM or Automated Valuation Model) has likely depreciated in last 12 months,dummy
437,Home Ownership / Property - Mortgage,PRPTYCOM105,Low Home Equity Balance,Ratio of available home equity to the property value. Indicates the home value less the mortgage and home equity loan amounts,dummy
438,Home Ownership / Property - Mortgage,PRPTYCOM106,High Home Equity Balance,Ratio of available home equity to the property value. Indicates the home value less the mortgage and home equity loan amounts,dummy
439,Consumer Finance - In-Market,CombineSeg04B,High Income Most Likely to Apply for a Home Equity Loan,"Likelihood to apply for a home equity loan within the next 3 months, model reflects top ranking aggregated households with income of $100K+",dummy
440,Automotive - Auto & Vehicle Financing,lease_end_3mo,Auto Lease End in 0-3 Months,Indicates aggregated households with an auto lease that ends within the next 0-3 months,dummy
441,Automotive - Auto & Vehicle Financing,lease_end_6mo,Auto Lease End in 4-6 Months,Indicates aggregated households with an auto lease that ends within the next 4-6 months,dummy
442,Automotive - Auto & Vehicle Financing,lease_end_9mo,Auto Lease End 7-9 Months,Indicates aggregated households with an auto lease that ends within the next 7-9 months,dummy
443,Automotive - Auto & Vehicle Financing,lease_end_12mo,Auto Lease End 10-12 Months,Indicates aggregated households with an auto lease that ends within the next 10-12 months,dummy
444,Demographic - Education,EDU100,Highest Education Achieved - High School,Indicates the highest education level achieved,dummy
445,Demographic - Education,EDU101,Highest Education Achieved - Some College,Indicates the highest education level achieved,dummy
446,Demographic - Education,EDU102,Highest Education Achieved - College Graduates,Indicates the highest education level achieved,dummy
447,Demographic - Education,EDU103,Highest Education Achieved - Graduate School Graduates,Indicates the highest education level achieved,dummy
448,Household Composition - Property,CHILD0,0 Children in Household,Indicates presence of no children in a household,dummy
449,Household Composition - Property,CHILD1,1 Children in Household,Indicates presence of one child in a household,dummy
450,Household Composition - Property,CHILD2,2 Children in Household,Indicates presence of two children in a household,dummy
451,Household Composition - Property,CHILD3,3 Children in Household,Indicates presence of three children in a household,dummy
452,Household Composition - Property,CHILD4,4+ Children in Household,Indicates presence of four or more children in a household,dummy
453,Demographic - Time at Current Address,CHH01,Shortest Time at Current Address,Shortest average tenure at consumers' address,dummy
454,Demographic - Time at Current Address,CHH04,Longest Time at Current Address,Longest average tenure at consumers' address,dummy
455,Household Composition - Children in Household,POC,Children in Household - All Ages,Indicates households with presence of children,dummy
456,Demographic - Veteran Status,PRPTY169,Likely Member of U.S. Military,Likely current or former member of the U.S. Military,dummy
457,Demographic - Life Events & Marital Status,MA1696,New Movers,Indicates a consumer that has just moved in the last three months,dummy
458,Business - Employee & Owner,MA1701,Occupation Code,Occupation Code - Rolled Up To 52 Codes,dummy
459,Business - Employee & Owner,MA1702,Occupation Code Detail,Expanded Occupation Codes,dummy
460,Home Ownership & Property - Property,MA1797,Air Conditioning Type,Indicates the type of air conditioning in a home,dummy
461,Home Ownership & Property - Property,MA1798,Heating Type,Indicates the type of heating in a home,dummy
